,account,zip_code,neighborhood_code,acreage,new_owner_date,full_addr,sq_ft
113,50220000004,77019,8317.0,0.1148,2003-07-18 00:00:00.000,"1317 RUTHVEN ST HOUSTON,TX 77019",1188.0
114,50220000007,77019,8317.0,0.1148,1988-01-02 00:00:00.000,"1318 CLEVELAND ST HOUSTON,TX 77019",1276.0
115,50240000010,77019,8317.0,0.0878,2003-05-04 00:00:00.000,"1315 VICTOR ST HOUSTON,TX 77019",1754.0
116,50260000001,77019,8317.0,0.5022,2019-09-23 00:00:00.000,"1501 VICTOR ST HOUSTON,TX 77019",420.0
117,50260000001,77019,8317.0,0.5022,2019-09-23 00:00:00.000,"1501 VICTOR ST HOUSTON,TX 77019",420.0
118,50260000001,77019,8317.0,0.5022,2019-09-23 00:00:00.000,"1501 VICTOR ST HOUSTON,TX 77019",420.0
119,50260000001,77019,8317.0,0.5022,2019-09-23 00:00:00.000,"1501 VICTOR ST HOUSTON,TX 77019",420.0
120,50260000001,77019,8317.0,0.5022,2019-09-23 00:00:00.000,"1501 VICTOR ST HOUSTON,TX 77019",420.0
121,50260000001,77019,8317.0,0.5022,2019-09-23 00:00:00.000,"1501 VICTOR ST HOUSTON,TX 77019",420.0
122,50260000001,77019,8317.0,0.5022,2019-09-23 00:00:00.000,"1501 VICTOR ST HOUSTON,TX 77019",420.0
123,50370000015,77019,8317.0,0.0918,2018-05-11 00:00:00.000,"1415 ANDREWS ST HOUSTON,TX 77019",2546.0
124,50390000004,77019,8317.0,0.109,2019-12-16 00:00:00.000,"1413 CLEVELAND ST HOUSTON,TX 77019",1608.0
125,50410000004,77019,8317.0,0.11,2016-06-24 00:00:00.000,"1511 ANDREWS ST HOUSTON,TX 77019",1608.0
126,50410000010,77019,8318.01,0.1148,2005-12-12 00:00:00.000,"1504 RUTHVEN ST HOUSTON,TX 77019",1418.0
127,50420000003,77019,8317.0,0.2296,2013-04-12 00:00:00.000,"1513 RUTHVEN ST HOUSTON,TX 77019",504.0
128,50420000003,77019,8317.0,0.2296,2013-04-12 00:00:00.000,"1513 RUTHVEN ST HOUSTON,TX 77019",504.0
129,50420000003,77019,8317.0,0.2296,2013-04-12 00:00:00.000,"1513 RUTHVEN ST HOUSTON,TX 77019",504.0
130,50420000017,77019,8318.06,0.0857,2012-09-26 00:00:00.000,"1516 CLEVELAND ST HOUSTON,TX 77019",1560.0
131,50440000001,77019,8317.0,0.0367,1997-03-22 00:00:00.000,"1308 GILLETTE ST HOUSTON,TX 77019",1668.0
132,50440000013,77019,8317.0,0.0918,1995-01-05 00:00:00.000,"1605 ANDREWS ST HOUSTON,TX 77019",813.0
133,50460000007,77019,8317.0,0.0671,2017-11-07 00:00:00.000,"1516 GILLETTE ST HOUSTON,TX 77019",870.0
134,50460000013,77019,8317.0,0.0528,2013-07-19 00:00:00.000,"1608 VICTOR ST HOUSTON,TX 77019",792.0
135,50460000014,77019,8317.0,0.0562,2015-04-23 00:00:00.000,"1610 VICTOR ST HOUSTON,TX 77019",3298.0
136,82360000006,77019,8317.0,0.3103,1995-07-11 00:00:00.000,"822 W DALLAS ST HOUSTON,TX 77019",1127.0
137,82360000006,77019,8317.0,0.3103,1995-07-11 00:00:00.000,"822 W DALLAS ST HOUSTON,TX 77019",6216.0
138,82600000012,77006,8316.03,0.1291,2001-07-12 00:00:00.000,"3818 BRANDT ST HOUSTON,TX 77006",2368.0
139,82600000018,77006,8316.03,0.0502,2012-02-29 00:00:00.000,"3816 BRANDT ST HOUSTON,TX 77006",1632.0
140,82600000019,77006,8316.03,0.144,2001-01-18 00:00:00.000,"310 SUL ROSS ST HOUSTON,TX 77006",3384.0
141,82610000001,77006,8316.03,0.1076,2014-05-30 00:00:00.000,"3903 BUTE ST HOUSTON,TX 77006",3619.0
142,82610000003,77006,8316.03,0.3587,2016-10-18 00:00:00.000,"3904 BRANDT ST HOUSTON,TX 77006",5202.0
143,82610000003,77006,8316.03,0.3587,2016-10-18 00:00:00.000,"3904 BRANDT ST HOUSTON,TX 77006",800.0
144,82610000006,77006,8316.03,0.5217,2005-04-22 00:00:00.000,"3900 MILAM ST HOUSTON,TX 77006",572.0
145,82610000006,77006,8316.03,0.5217,2005-04-22 00:00:00.000,"3900 MILAM ST HOUSTON,TX 77006",6303.0
146,82610000013,77006,8316.03,0.0723,1998-08-11 00:00:00.000,"3909 BUTE ST HOUSTON,TX 77006",1023.0
147,82670000001,77006,8316.07,0.044,2016-08-05 00:00:00.000,"4015 GARROTT ST HOUSTON,TX 77006",2294.0
148,82670000014,77006,8316.07,0.0562,2007-05-31 00:00:00.000,"425 BRANARD ST HOUSTON,TX 77006",2478.0
149,82670000015,77006,8316.07,0.0417,2000-09-29 00:00:00.000,"4003 GARROTT ST HOUSTON,TX 77006",2602.0
150,82670000016,77006,8316.07,0.0445,2014-04-14 00:00:00.000,"4011 GARROTT ST HOUSTON,TX 77006",2641.0
151,82680000001,77006,8316.03,0.1794,2008-06-11 00:00:00.000,"3913 GARROTT ST HOUSTON,TX 77006",2282.0
152,82680000001,77006,8316.03,0.1794,2008-06-11 00:00:00.000,"3913 GARROTT ST HOUSTON,TX 77006",540.0
153,82680000002,77006,8316.03,0.1794,2004-05-17 00:00:00.000,"407 SUL ROSS ST HOUSTON,TX 77006",2840.0
154,82680000003,77006,8316.03,0.2152,2015-04-17 00:00:00.000,"401 SUL ROSS ST HOUSTON,TX 77006",3821.0
155,82680000003,77006,8316.03,0.2152,2015-04-17 00:00:00.000,"401 SUL ROSS ST HOUSTON,TX 77006",1728.0
156,82680000007,77006,8316.03,0.1435,2009-02-18 00:00:00.000,"3916 BUTE ST HOUSTON,TX 77006",3152.0
157,82680000010,77006,8333.09,0.0,2014-03-04 00:00:00.000,"406 BRANARD ST HOUSTON,TX 77006",2432.0
158,82680000014,77006,8316.03,0.1794,2003-04-29 00:00:00.000,"414 BRANARD ST HOUSTON,TX 77006",2992.0
159,82680000015,77006,8333.09,0.0,1997-03-11 00:00:00.000,"402 BRANARD ST HOUSTON,TX 77006",2084.0
160,82680000016,77006,8333.09,0.0,2003-05-29 00:00:00.000,"410 BRANARD ST HOUSTON,TX 77006",2604.0
161,82680000017,77006,8333.09,0.0,2016-06-30 00:00:00.000,"412 BRANARD ST HOUSTON,TX 77006",2804.0
162,82680000018,77006,8333.09,0.0,2015-09-30 00:00:00.000,"3920 BUTE ST HOUSTON,TX 77006",2084.0
163,82690000002,77006,8316.03,0.1794,2010-03-04 00:00:00.000,"409 W ALABAMA ST HOUSTON,TX 77006",756.0
164,82690000002,77006,8316.03,0.1794,2010-03-04 00:00:00.000,"409 W ALABAMA ST HOUSTON,TX 77006",2606.0
165,82690000007,77006,8333.09,0.0,2014-02-18 00:00:00.000,"3818 BUTE ST HOUSTON,TX 77006",2127.0
166,82690000016,77006,8333.09,0.0,1992-08-19 00:00:00.000,"402 SUL ROSS ST HOUSTON,TX 77006",2032.0
167,82690000017,77006,8333.09,0.0,1997-09-17 00:00:00.000,"3822 BUTE ST HOUSTON,TX 77006",2336.0
168,82690000018,77006,8333.09,0.0,2002-07-12 00:00:00.000,"3820 BUTE ST HOUSTON,TX 77006",2172.0
169,82690000019,77006,8316.03,0.1794,2019-09-20 00:00:00.000,"419 W ALABAMA ST HOUSTON,TX 77006",4100.0
170,82690000022,77006,8316.03,0.1076,2015-03-31 00:00:00.000,"404 SUL ROSS ST HOUSTON,TX 77006",3569.0
171,82700000001,77006,8316.03,0.1578,2007-10-04 00:00:00.000,"3806 GARROTT ST HOUSTON,TX 77006",480.0
172,82700000001,77006,8316.03,0.1578,2007-10-04 00:00:00.000,"3806 GARROTT ST HOUSTON,TX 77006",2208.0
173,82700000003,77006,8316.03,0.1578,2009-04-30 00:00:00.000,"3818 GARROTT ST HOUSTON,TX 77006",2220.0
174,82700000013,77006,8316.03,0.1578,2015-08-06 00:00:00.000,"3800 GARROTT ST HOUSTON,TX 77006",1599.0
175,82700000013,77006,8316.03,0.1578,2015-08-06 00:00:00.000,"3800 GARROTT ST HOUSTON,TX 77006",672.0
176,82710000004,77006,8316.03,0.1722,2019-04-18 00:00:00.000,"503 SUL ROSS ST HOUSTON,TX 77006",2004.0
177,82710000005,77006,8316.03,0.1435,1996-05-02 00:00:00.000,"504 BRANARD ST HOUSTON,TX 77006",2312.0
178,82710010001,77006,8316.07,0.043,1998-03-07 00:00:00.000,"3910 GARROTT ST HOUSTON,TX 77006",1630.0
179,82710010002,77006,8316.07,0.043,2010-06-25 00:00:00.000,"3912 GARROTT ST HOUSTON,TX 77006",1625.0
180,82710010003,77006,8316.07,0.043,1992-10-26 00:00:00.000,"3914 GARROTT ST HOUSTON,TX 77006",1712.0
181,82710010004,77006,8316.07,0.043,2017-08-24 00:00:00.000,"3916 GARROTT ST HOUSTON,TX 77006",1712.0
182,82710010005,77006,8316.07,0.0601,1989-04-25 00:00:00.000,"500 BRANARD ST HOUSTON,TX 77006",1886.0
183,82710010006,77006,8316.07,0.0574,2016-07-18 00:00:00.000,"502 BRANARD ST HOUSTON,TX 77006",1712.0
184,82720000002,77006,8316.03,0.1578,1988-01-02 00:00:00.000,"4014 GARROTT ST HOUSTON,TX 77006",2032.0
185,82720000015,77006,8316.03,0.1492,2009-08-27 00:00:00.000,"506 W MAIN ST HOUSTON,TX 77006",2776.0
186,82720000015,77006,8316.03,0.1492,2009-08-27 00:00:00.000,"506 W MAIN ST HOUSTON,TX 77006",672.0
187,82730000001,77006,8316.03,0.1385,2016-02-29 00:00:00.000,"505 W MAIN ST HOUSTON,TX 77006",2399.0
188,82730000005,77006,8316.03,0.1625,1995-11-17 00:00:00.000,"507 W MAIN ST HOUSTON,TX 77006",1578.0
189,82730000006,77006,8316.03,0.1401,2018-11-14 00:00:00.000,"508 COLQUITT HOUSTON,TX 77006",1712.0
190,82730000006,77006,8316.03,0.1401,2018-11-14 00:00:00.000,"508 COLQUITT HOUSTON,TX 77006",736.0
191,90690000004,77019,8317.0,0.2296,2013-06-21 00:00:00.000,"1013 ROBIN ST HOUSTON,TX 77019",5372.0
192,90700020001,77019,8318.01,0.0582,2003-03-04 00:00:00.000,"1010 ROBIN ST HOUSTON,TX 77019",1375.0
193,90700020002,77019,8318.01,0.0582,2018-09-07 00:00:00.000,"1008 ROBIN ST HOUSTON,TX 77019",1336.0
194,90720010001,77019,8318.01,0.0574,2018-08-28 00:00:00.000,"1115 SAULNIER ST HOUSTON,TX 77019",1330.0
195,90720010002,77019,8318.01,0.0574,2015-11-09 00:00:00.000,"1113 SAULNIER ST HOUSTON,TX 77019",1330.0
196,90720010003,77019,8318.01,0.0581,2009-08-21 00:00:00.000,"1124 ROBIN ST HOUSTON,TX 77019",1360.0
197,90720010004,77019,8318.01,0.0581,2003-02-19 00:00:00.000,"1120 ROBIN ST HOUSTON,TX 77019",704.0
198,90720010004,77019,8318.01,0.0581,2003-02-19 00:00:00.000,"1120 ROBIN ST HOUSTON,TX 77019",1296.0
199,90720010005,77019,8318.01,0.0581,2003-01-01 00:00:00.000,"1108 ROBIN ST HOUSTON,TX 77019",1296.0
200,90720010006,77019,8318.01,0.0581,2011-12-28 00:00:00.000,"1106 ROBIN ST HOUSTON,TX 77019",1360.0
201,90720010007,77019,8318.01,0.0581,2018-06-08 00:00:00.000,"1104 ROBIN ST HOUSTON,TX 77019",1296.0
202,90720010008,77019,8318.01,0.0581,2015-12-18 00:00:00.000,"1102 ROBIN ST HOUSTON,TX 77019",1360.0
203,90730000003,77019,8317.0,0.1148,2018-05-18 00:00:00.000,"1111 ROBIN ST HOUSTON,TX 77019",1275.0
204,90730030001,77019,8318.01,0.0567,2003-01-01 00:00:00.000,"1109 ROBIN ST HOUSTON,TX 77019",1360.0
205,90730030002,77019,8318.01,0.0567,2019-10-10 00:00:00.000,"1107 ROBIN ST HOUSTON,TX 77019",1360.0
206,90730030003,77019,8318.01,0.0567,2013-11-05 00:00:00.000,"1105 ROBIN ST HOUSTON,TX 77019",1296.0
207,90730030004,77019,8318.01,0.0567,2003-01-01 00:00:00.000,"1103 ROBIN ST HOUSTON,TX 77019",1360.0
208,90740000004,77019,8317.0,0.1148,2009-11-24 00:00:00.000,"1217 ROBIN ST HOUSTON,TX 77019",4180.0
209,90740000006,77019,8317.0,0.0574,2001-04-10 00:00:00.000,"1211 MATTHEWS ST HOUSTON,TX 77019",1209.0
210,90770000015,77019,8317.0,0.0413,2014-04-13 00:00:00.000,"1109 WILSON ST HOUSTON,TX 77019",1802.0
211,90770000016,77019,8318.06,0.0606,2015-05-08 00:00:00.000,"1309 SAULNIER ST HOUSTON,TX 77019",1749.0
212,90770000017,77019,8318.06,0.0554,2013-07-05 00:00:00.000,"1311 SAULNIER ST HOUSTON,TX 77019",1749.0
213,90770000018,77019,8318.06,0.0561,2000-01-01 00:00:00.000,"1313 SAULNIER ST HOUSTON,TX 77019",1749.0
214,90830000007,77019,8317.0,0.1148,2014-04-29 00:00:00.000,"1516 ROBIN ST HOUSTON,TX 77019",540.0
215,90830000007,77019,8317.0,0.1148,2014-04-29 00:00:00.000,"1516 ROBIN ST HOUSTON,TX 77019",740.0
